"Action","VariantIndex","Key","TypeName","Value"
"Attack001","1","TARGET_COUNT","System.Int32","1"
"Attack001","1","PRJCTL.THROW_COUNT","System.Int32","1"
"Attack001","1","PRJCTL.LAND.TARGET_COUNT","System.Int32","1"
"Attack001","1","PRJCTL.LAND.TARGET_COUNT","System.Int32","1"
"Attack001","1","PRJCTL.LAND.DAMAGE.HIT_COUNT","System.Int32","1"
"Attack001","1","PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","100"
"Attack001","1","PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","100"
"Attack001","1","PRJCTL.LAND.ABNORMAL.APPLY_PROBABILITY","Project.ValuePermille","300"
"Attack001","1","PRJCTL.LAND.ABNORMAL.DURATION","System.Single","20"
"Attack001","1","PRJCTL.LAND.KNOCKBACK.STRENGTH","System.Int32","1"
"Attack001","1","OLD.DAMAGE.HIT_COUNT","System.Int32","1"
"Attack001","1","OLD.DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","0"
"Attack001","1","OLD.DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","0"
"Attack001","1","OLD.KNOCKBACK.STRENGTH","System.Int32","0"
"Attack001","1","OLD.ABNORMAL.APPLY_PROBABILITY","Project.ValuePermille","1000"
"Attack001","1","OLD.ABNORMAL.DURATION","System.Single","15"
"Attack001","2","TARGET_COUNT","System.Int32","1"
"Attack001","2","PRJCTL.THROW_COUNT","System.Int32","1"
"Attack001","2","PRJCTL.LAND.TARGET_COUNT","System.Int32","1"
"Attack001","2","PRJCTL.LAND.TARGET_COUNT","System.Int32","1"
"Attack001","2","PRJCTL.LAND.DAMAGE.HIT_COUNT","System.Int32","1"
"Attack001","2","PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","100"
"Attack001","2","PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","100"
"Attack001","2","PRJCTL.LAND.ABNORMAL.APPLY_PROBABILITY","Project.ValuePermille","300"
"Attack001","2","PRJCTL.LAND.ABNORMAL.DURATION","System.Single","20"
"Attack001","2","PRJCTL.LAND.KNOCKBACK.STRENGTH","System.Int32","1"
"Attack001","2","OLD.DAMAGE.HIT_COUNT","System.Int32","1"
"Attack001","2","OLD.DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","0"
"Attack001","2","OLD.DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","0"
"Attack001","2","OLD.KNOCKBACK.STRENGTH","System.Int32","0"
"Attack001","2","OLD.ABNORMAL.APPLY_PROBABILITY","Project.ValuePermille","1000"
"Attack001","2","OLD.ABNORMAL.DURATION","System.Single","15"
"Attack001","3","TARGET_COUNT","System.Int32","1"
"Attack001","3","PRJCTL.THROW_COUNT","System.Int32","1"
"Attack001","3","PRJCTL.LAND.TARGET_COUNT","System.Int32","1"
"Attack001","3","PRJCTL.LAND.TARGET_COUNT","System.Int32","1"
"Attack001","3","PRJCTL.LAND.DAMAGE.HIT_COUNT","System.Int32","1"
"Attack001","3","PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","100"
"Attack001","3","PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","100"
"Attack001","3","PRJCTL.LAND.ABNORMAL.APPLY_PROBABILITY","Project.ValuePermille","300"
"Attack001","3","PRJCTL.LAND.ABNORMAL.DURATION","System.Single","20"
"Attack001","3","PRJCTL.LAND.KNOCKBACK.STRENGTH","System.Int32","1"
"Attack001","3","OLD.DAMAGE.HIT_COUNT","System.Int32","1"
"Attack001","3","OLD.DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","0"
"Attack001","3","OLD.DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","0"
"Attack001","3","OLD.KNOCKBACK.STRENGTH","System.Int32","0"
"Attack001","3","OLD.ABNORMAL.APPLY_PROBABILITY","Project.ValuePermille","1000"
"Attack001","3","OLD.ABNORMAL.DURATION","System.Single","15"
"Attack001","4","TARGET_COUNT","System.Int32","1"
"Attack001","4","PRJCTL.THROW_COUNT","System.Int32","1"
"Attack001","4","PRJCTL.LAND.TARGET_COUNT","System.Int32","1"
