"CharacterId","SkillType","SkillLevel","EffectIndex","Key","TypeName","Value"
"107601000G","actionSkillValues","1","1","RECOVER.HEAL_PERCENT","Project.ValuePercent","75"
"107601000G","actionSkillValues","1","1","CRITICALUP.FIXED_PERCENT","Project.ValuePermille","100"
"107601000G","actionSkillValues","1","1","CRITICALUP.DURATION","System.Single","10"
"107601000G","actionSkillValues","2","1","RECOVER.HEAL_PERCENT","Project.ValuePercent","89.2"
"107601000G","actionSkillValues","2","1","CRITICALUP.FIXED_PERCENT","Project.ValuePermille","100"
"107601000G","actionSkillValues","2","1","CRITICALUP.DURATION","System.Single","10"
"107601000G","actionSkillValues","3","1","RECOVER.HEAL_PERCENT","Project.ValuePercent","103.4"
"107601000G","actionSkillValues","3","1","CRITICALUP.FIXED_PERCENT","Project.ValuePermille","100"
"107601000G","actionSkillValues","3","1","CRITICALUP.DURATION","System.Single","10"
"107601000G","actionSkillValues","4","1","RECOVER.HEAL_PERCENT","Project.ValuePercent","117.6"
"107601000G","actionSkillValues","4","1","CRITICALUP.FIXED_PERCENT","Project.ValuePermille","100"
"107601000G","actionSkillValues","4","1","CRITICALUP.DURATION","System.Single","10"
"107601000G","actionSkillValues","5","1","RECOVER.HEAL_PERCENT","Project.ValuePercent","131.8"
"107601000G","actionSkillValues","5","1","CRITICALUP.FIXED_PERCENT","Project.ValuePermille","100"
"107601000G","actionSkillValues","5","1","CRITICALUP.DURATION","System.Single","10"
"107601000G","actionSkillValues","6","1","RECOVER.HEAL_PERCENT","Project.ValuePercent","135.3"
"107601000G","actionSkillValues","6","1","CRITICALUP.FIXED_PERCENT","Project.ValuePermille","100"
"107601000G","actionSkillValues","6","1","CRITICALUP.DURATION","System.Single","10"
"107601000G","actionSkillValues","7","1","RECOVER.HEAL_PERCENT","Project.ValuePercent","138.8"
"107601000G","actionSkillValues","7","1","CRITICALUP.FIXED_PERCENT","Project.ValuePermille","100"
"107601000G","actionSkillValues","7","1","CRITICALUP.DURATION","System.Single","10"
"107601000G","actionSkillValues","8","1","RECOVER.HEAL_PERCENT","Project.ValuePercent","142.3"
"107601000G","actionSkillValues","8","1","CRITICALUP.FIXED_PERCENT","Project.ValuePermille","100"
"107601000G","actionSkillValues","8","1","CRITICALUP.DURATION","System.Single","10"
"107601000G","actionSkillValues","9","1","RECOVER.HEAL_PERCENT","Project.ValuePercent","145.8"
"107601000G","actionSkillValues","9","1","CRITICALUP.FIXED_PERCENT","Project.ValuePermille","100"
"107601000G","actionSkillValues","9","1","CRITICALUP.DURATION","System.Single","10"
"107601000G","actionSkillValues","10","1","RECOVER.HEAL_PERCENT","Project.ValuePercent","150"
"107601000G","actionSkillValues","10","1","CRITICALUP.FIXED_PERCENT","Project.ValuePermille","100"
"107601000G","actionSkillValues","10","1","CRITICALUP.DURATION","System.Single","10"
"107601000G","chainSkillValues","1","1","RECOVER.HEAL_PERCENT","Project.ValuePercent","75"
