"CharacterId","SkillType","SkillLevel","EffectIndex","Key","TypeName","Value"
"104901000G","actionSkillValues","1","1","TARGET_COUNT","System.Int32","1"
"104901000G","actionSkillValues","1","1","PRJCTL.THROW_COUNT","System.Int32","1"
"104901000G","actionSkillValues","1","1","PRJCTL.THROW.TARGET_COUNT","System.Int32","1"
"104901000G","actionSkillValues","1","2","PRJCTL.THROW.TARGET_COUNT","System.Int32","1"
"104901000G","actionSkillValues","1","1","PRJCTL.THROW.CRITICALUP.FIXED_PERCENT","Project.ValuePermille","75"
"104901000G","actionSkillValues","1","1","PRJCTL.THROW.CRITICALUP.DURATION","System.Single","10"
"104901000G","actionSkillValues","2","1","TARGET_COUNT","System.Int32","1"
"104901000G","actionSkillValues","2","1","PRJCTL.THROW_COUNT","System.Int32","1"
"104901000G","actionSkillValues","2","1","PRJCTL.THROW.TARGET_COUNT","System.Int32","1"
"104901000G","actionSkillValues","2","2","PRJCTL.THROW.TARGET_COUNT","System.Int32","1"
"104901000G","actionSkillValues","2","1","PRJCTL.THROW.CRITICALUP.FIXED_PERCENT","Project.ValuePermille","89"
"104901000G","actionSkillValues","2","1","PRJCTL.THROW.CRITICALUP.DURATION","System.Single","10"
"104901000G","actionSkillValues","3","1","TARGET_COUNT","System.Int32","1"
"104901000G","actionSkillValues","3","1","PRJCTL.THROW_COUNT","System.Int32","1"
"104901000G","actionSkillValues","3","1","PRJCTL.THROW.TARGET_COUNT","System.Int32","1"
"104901000G","actionSkillValues","3","2","PRJCTL.THROW.TARGET_COUNT","System.Int32","1"
"104901000G","actionSkillValues","3","1","PRJCTL.THROW.CRITICALUP.FIXED_PERCENT","Project.ValuePermille","103"
"104901000G","actionSkillValues","3","1","PRJCTL.THROW.CRITICALUP.DURATION","System.Single","10"
"104901000G","actionSkillValues","4","1","TARGET_COUNT","System.Int32","1"
"104901000G","actionSkillValues","4","1","PRJCTL.THROW_COUNT","System.Int32","1"
"104901000G","actionSkillValues","4","1","PRJCTL.THROW.TARGET_COUNT","System.Int32","1"
"104901000G","actionSkillValues","4","2","PRJCTL.THROW.TARGET_COUNT","System.Int32","1"
"104901000G","actionSkillValues","4","1","PRJCTL.THROW.CRITICALUP.FIXED_PERCENT","Project.ValuePermille","117"
"104901000G","actionSkillValues","4","1","PRJCTL.THROW.CRITICALUP.DURATION","System.Single","10"
"104901000G","actionSkillValues","5","1","TARGET_COUNT","System.Int32","1"
"104901000G","actionSkillValues","5","1","PRJCTL.THROW_COUNT","System.Int32","1"
"104901000G","actionSkillValues","5","1","PRJCTL.THROW.TARGET_COUNT","System.Int32","1"
"104901000G","actionSkillValues","5","2","PRJCTL.THROW.TARGET_COUNT","System.Int32","1"
"104901000G","actionSkillValues","5","1","PRJCTL.THROW.CRITICALUP.FIXED_PERCENT","Project.ValuePermille","133"
"104901000G","actionSkillValues","5","1","PRJCTL.THROW.CRITICALUP.DURATION","System.Single","10"
"104901000G","actionSkillValues","6","1","TARGET_COUNT","System.Int32","1"
"104901000G","actionSkillValues","6","1","PRJCTL.THROW_COUNT","System.Int32","1"
"104901000G","actionSkillValues","6","1","PRJCTL.THROW.TARGET_COUNT","System.Int32","1"
"104901000G","actionSkillValues","6","2","PRJCTL.THROW.TARGET_COUNT","System.Int32","1"
"104901000G","actionSkillValues","6","1","PRJCTL.THROW.CRITICALUP.FIXED_PERCENT","Project.ValuePermille","134"
