"CharacterId","SkillType","SkillLevel","EffectIndex","Key","TypeName","Value"
"102301001G","actionSkillValues","1","1","TARGET_COUNT","System.Int32","1"
"102301001G","actionSkillValues","1","1","PRJCTL.THROW_COUNT","System.Int32","1"
"102301001G","actionSkillValues","1","1","PRJCTL.THROW.TARGET_COUNT","System.Int32","1"
"102301001G","actionSkillValues","1","2","PRJCTL.THROW.TARGET_COUNT","System.Int32","1"
"102301001G","actionSkillValues","1","1","PRJCTL.THROW.RECOVER.HEAL_PERCENT","Project.ValuePercent","100"
"102301001G","actionSkillValues","2","1","TARGET_COUNT","System.Int32","1"
"102301001G","actionSkillValues","2","1","PRJCTL.THROW_COUNT","System.Int32","1"
"102301001G","actionSkillValues","2","1","PRJCTL.THROW.TARGET_COUNT","System.Int32","1"
"102301001G","actionSkillValues","2","2","PRJCTL.THROW.TARGET_COUNT","System.Int32","1"
"102301001G","actionSkillValues","2","1","PRJCTL.THROW.RECOVER.HEAL_PERCENT","Project.ValuePercent","119"
"102301001G","actionSkillValues","3","1","TARGET_COUNT","System.Int32","1"
"102301001G","actionSkillValues","3","1","PRJCTL.THROW_COUNT","System.Int32","1"
"102301001G","actionSkillValues","3","1","PRJCTL.THROW.TARGET_COUNT","System.Int32","1"
"102301001G","actionSkillValues","3","2","PRJCTL.THROW.TARGET_COUNT","System.Int32","1"
"102301001G","actionSkillValues","3","1","PRJCTL.THROW.RECOVER.HEAL_PERCENT","Project.ValuePercent","138"
"102301001G","actionSkillValues","4","1","TARGET_COUNT","System.Int32","1"
"102301001G","actionSkillValues","4","1","PRJCTL.THROW_COUNT","System.Int32","1"
"102301001G","actionSkillValues","4","1","PRJCTL.THROW.TARGET_COUNT","System.Int32","1"
"102301001G","actionSkillValues","4","2","PRJCTL.THROW.TARGET_COUNT","System.Int32","1"
"102301001G","actionSkillValues","4","1","PRJCTL.THROW.RECOVER.HEAL_PERCENT","Project.ValuePercent","157"
"102301001G","actionSkillValues","5","1","TARGET_COUNT","System.Int32","1"
