"CharacterId","SkillType","SkillLevel","EffectIndex","Key","TypeName","Value"
"103601000G","actionSkillValues","1","1","TARGET_COUNT","System.Int32","1"
"103601000G","actionSkillValues","1","2","TARGET_COUNT","System.Int32","1"
"103601000G","actionSkillValues","1","3","TARGET_COUNT","System.Int32","1"
"103601000G","actionSkillValues","1","1","DAMAGE.HIT_COUNT","System.Int32","1"
"103601000G","actionSkillValues","1","2","DAMAGE.HIT_COUNT","System.Int32","1"
"103601000G","actionSkillValues","1","3","DAMAGE.HIT_COUNT","System.Int32","1"
"103601000G","actionSkillValues","1","1","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","20"
"103601000G","actionSkillValues","1","2","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","20"
"103601000G","actionSkillValues","1","3","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","20"
"103601000G","actionSkillValues","1","1","DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","20"
"103601000G","actionSkillValues","1","1","KNOCKBACK.STRENGTH","System.Int32","3"
"103601000G","actionSkillValues","1","2","KNOCKBACK.STRENGTH","System.Int32","3"
"103601000G","actionSkillValues","1","3","KNOCKBACK.STRENGTH","System.Int32","3"
"103601000G","actionSkillValues","2","1","TARGET_COUNT","System.Int32","1"
"103601000G","actionSkillValues","2","2","TARGET_COUNT","System.Int32","1"
"103601000G","actionSkillValues","2","3","TARGET_COUNT","System.Int32","1"
"103601000G","actionSkillValues","2","1","DAMAGE.HIT_COUNT","System.Int32","1"
"103601000G","actionSkillValues","2","2","DAMAGE.HIT_COUNT","System.Int32","1"
"103601000G","actionSkillValues","2","3","DAMAGE.HIT_COUNT","System.Int32","1"
"103601000G","actionSkillValues","2","1","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","23.8"
"103601000G","actionSkillValues","2","2","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","23.8"
"103601000G","actionSkillValues","2","3","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","23.8"
"103601000G","actionSkillValues","2","1","DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","23.8"
"103601000G","actionSkillValues","2","1","KNOCKBACK.STRENGTH","System.Int32","3"
"103601000G","actionSkillValues","2","2","KNOCKBACK.STRENGTH","System.Int32","3"
"103601000G","actionSkillValues","2","3","KNOCKBACK.STRENGTH","System.Int32","3"
"103601000G","actionSkillValues","3","1","TARGET_COUNT","System.Int32","1"
"103601000G","actionSkillValues","3","2","TARGET_COUNT","System.Int32","1"
"103601000G","actionSkillValues","3","3","TARGET_COUNT","System.Int32","1"
"103601000G","actionSkillValues","3","1","DAMAGE.HIT_COUNT","System.Int32","1"
"103601000G","actionSkillValues","3","2","DAMAGE.HIT_COUNT","System.Int32","1"
"103601000G","actionSkillValues","3","3","DAMAGE.HIT_COUNT","System.Int32","1"
"103601000G","actionSkillValues","3","1","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","27.6"
"103601000G","actionSkillValues","3","2","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","27.6"
"103601000G","actionSkillValues","3","3","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","27.6"
"103601000G","actionSkillValues","3","1","DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","27.6"
"103601000G","actionSkillValues","3","1","KNOCKBACK.STRENGTH","System.Int32","3"
"103601000G","actionSkillValues","3","2","KNOCKBACK.STRENGTH","System.Int32","3"
"103601000G","actionSkillValues","3","3","KNOCKBACK.STRENGTH","System.Int32","3"
"103601000G","actionSkillValues","4","1","TARGET_COUNT","System.Int32","1"
"103601000G","actionSkillValues","4","2","TARGET_COUNT","System.Int32","1"
"103601000G","actionSkillValues","4","3","TARGET_COUNT","System.Int32","1"
"103601000G","actionSkillValues","4","1","DAMAGE.HIT_COUNT","System.Int32","1"
"103601000G","actionSkillValues","4","2","DAMAGE.HIT_COUNT","System.Int32","1"
"103601000G","actionSkillValues","4","3","DAMAGE.HIT_COUNT","System.Int32","1"
"103601000G","actionSkillValues","4","1","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","31.4"
"103601000G","actionSkillValues","4","2","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","31.4"
"103601000G","actionSkillValues","4","3","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","31.4"
"103601000G","actionSkillValues","4","1","DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","31.4"
"103601000G","actionSkillValues","4","1","KNOCKBACK.STRENGTH","System.Int32","3"
"103601000G","actionSkillValues","4","2","KNOCKBACK.STRENGTH","System.Int32","3"
"103601000G","actionSkillValues","4","3","KNOCKBACK.STRENGTH","System.Int32","3"
"103601000G","actionSkillValues","5","1","TARGET_COUNT","System.Int32","1"
"103601000G","actionSkillValues","5","2","TARGET_COUNT","System.Int32","1"
"103601000G","actionSkillValues","5","3","TARGET_COUNT","System.Int32","1"
"103601000G","actionSkillValues","5","1","DAMAGE.HIT_COUNT","System.Int32","1"
"103601000G","actionSkillValues","5","2","DAMAGE.HIT_COUNT","System.Int32","1"
"103601000G","actionSkillValues","5","3","DAMAGE.HIT_COUNT","System.Int32","1"
"103601000G","actionSkillValues","5","1","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","35.2"
"103601000G","actionSkillValues","5","2","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","35.2"
"103601000G","actionSkillValues","5","3","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","35.2"
"103601000G","actionSkillValues","5","1","DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","35.2"
"103601000G","actionSkillValues","5","1","KNOCKBACK.STRENGTH","System.Int32","3"
"103601000G","actionSkillValues","5","2","KNOCKBACK.STRENGTH","System.Int32","3"
"103601000G","actionSkillValues","5","3","KNOCKBACK.STRENGTH","System.Int32","3"
"103601000G","actionSkillValues","6","1","TARGET_COUNT","System.Int32","1"
"103601000G","actionSkillValues","6","2","TARGET_COUNT","System.Int32","1"
"103601000G","actionSkillValues","6","3","TARGET_COUNT","System.Int32","1"
"103601000G","actionSkillValues","6","1","DAMAGE.HIT_COUNT","System.Int32","1"
"103601000G","actionSkillValues","6","2","DAMAGE.HIT_COUNT","System.Int32","1"
"103601000G","actionSkillValues","6","3","DAMAGE.HIT_COUNT","System.Int32","1"
"103601000G","actionSkillValues","6","1","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","36.1"
